ユら戳,,戳る(秅),秨絃基,程蔼基,程基,Μ絃基,害禴基,害禴%,Θユ秖,挡衡基,ゼ≧綪计,程程ㄎ禦基,程程ㄎ芥基,菌程蔼基,菌程基
2005/1/3,TX,200501,6185,6193,6154,6174,-14,-0.23%,20319,6174,39331,6174,6175,6193,5689
2005/1/3,TX,200502,6200,6200,6162,6177,-8,-0.13%,343,6177,693,6177,6181,6200,5930
2005/1/3,TX,200503,6160,6170,6160,6162,1,0.02%,7,6162,407,6145,6186,7190,5110
2005/1/3,TX,200506,6128,6175,6128,6155,5,0.08%,51,6155,438,6143,6175,6175,5010
2005/1/3,TX,200509,6067,6070,6052,6060,-20,-0.33%,5,6073,507,6066,6080,6080,5512
2005/1/3,TF,200501,1049.4,1049.4,1041,1045.8,-0.2,-0.02%,3222,1045.8,11199,1045.6,1045.8,1068.6,970.4
2005/1/3,TF,200502,1046.2,1046.4,1041.4,1046,3.4,0.33%,62,1046,243,1044,1046.8,1085.8,997
2005/1/3,TF,200503,1045,1045,1045,1045,2,0.19%,1,1042.6,92,1040.2,1045,1119,825
2005/1/3,TF,200506,-,-,-,-,-,-,-,1035.4,17,1033.2,1045,1069,848.6
2005/1/3,TF,200509,-,-,-,-,-,-,-,1037.8,17,1030.2,1045,1049.2,981
2005/1/3,TE,200501,231.5,231.95,229.2,229.4,-1.5,-0.65%,2711,229.4,8931,229.35,229.4,231.95,210.2
2005/1/3,TE,200502,231.25,233,229.2,229.2,-1.2,-0.52%,35,229.2,93,229.2,229.6,233,223.6
2005/1/3,TE,200503,229.4,229.4,228.6,228.6,-0.7,-0.31%,2,228.6,27,225.05,230.4,295,200.15
2005/1/3,TE,200506,-,-,-,-,-,-,-,230.7,9,225.3,231.45,227.45,200.15
2005/1/3,TE,200509,-,-,-,-,-,-,-,230.7,6,223.2,231.95,222,200.05
2005/1/3,T5F,200501,4631,4631,4631,4631,-163,-3.40%,1,4631,128,4583,4659,4794,4432
2005/1/3,T5F,200502,-,-,-,-,-,-,-,4650,0,4485,4989,-,-
2005/1/3,T5F,200503,-,-,-,-,-,-,-,4634,0,4463,5131,4522,4492
2005/1/3,T5F,200506,-,-,-,-,-,-,-,4672,1,4499,5149,4533,4533
2005/1/3,T5F,200509,-,-,-,-,-,-,-,4754,0,-,5060,-,-
2005/1/3,MTX,200501,6190,6192,6156,6172,-16,-0.26%,3815,6174,7955,6172,6173,6192,5685
2005/1/3,MTX,200502,6190,6190,6165,6175,-10,-0.16%,80,6177,304,6174,6188,6190,5940
2005/1/3,MTX,200503,6197,6197,6152,6152,-9,-0.15%,3,6162,92,6154,6188,6982,5117
2005/1/3,MTX,200506,-,-,-,-,-,-,-,6155,127,6112,6190,6150,5200
