['Date:20030102', 'Maturity:200301', 'Strike_price:3900', 'CallPut:call', 'close:625']
['Date:20030102', 'Maturity:200301', 'Strike_price:4000', 'CallPut:call', 'close:525']
['Date:20030102', 'Maturity:200301', 'Strike_price:4100', 'CallPut:call', 'close:430']
['Date:20030102', 'Maturity:200301', 'Strike_price:4200', 'CallPut:call', 'close:336']
['Date:20030102', 'Maturity:200301', 'Strike_price:4300', 'CallPut:call', 'close:212']
['Date:20030102', 'Maturity:200301', 'Strike_price:4400', 'CallPut:call', 'close:148']
['Date:20030102', 'Maturity:200301', 'Strike_price:4500', 'CallPut:call', 'close:96']
['Date:20030102', 'Maturity:200301', 'Strike_price:4600', 'CallPut:call', 'close:57']
['Date:20030102', 'Maturity:200301', 'Strike_price:4700', 'CallPut:call', 'close:31.5']
['Date:20030102', 'Maturity:200301', 'Strike_price:4800', 'CallPut:call', 'close:15.5']
['Date:20030102', 'Maturity:200301', 'Strike_price:4900', 'CallPut:call', 'close:7.1']
['Date:20030102', 'Maturity:200301', 'Strike_price:5000', 'CallPut:call', 'close:2.9']
['Date:20030102', 'Maturity:200301', 'Strike_price:5100', 'CallPut:call', 'close:1.3']
['Date:20030102', 'Maturity:200302', 'Strike_price:4200', 'CallPut:call', 'close:393']
['Date:20030102', 'Maturity:200302', 'Strike_price:4300', 'CallPut:call', 'close:321']
['Date:20030102', 'Maturity:200302', 'Strike_price:4400', 'CallPut:call', 'close:257']
['Date:20030102', 'Maturity:200302', 'Strike_price:4500', 'CallPut:call', 'close:172']
['Date:20030102', 'Maturity:200302', 'Strike_price:4600', 'CallPut:call', 'close:132']
['Date:20030102', 'Maturity:200302', 'Strike_price:4700', 'CallPut:call', 'close:99']
['Date:20030102', 'Maturity:200302', 'Strike_price:4800', 'CallPut:call', 'close:74']
['Date:20030102', 'Maturity:200302', 'Strike_price:4900', 'CallPut:call', 'close:62']
['Date:20030102', 'Maturity:200302', 'Strike_price:5000', 'CallPut:call', 'close:43.5']
['Date:20030102', 'Maturity:200302', 'Strike_price:5100', 'CallPut:call', 'close:30']
['Date:20030103', 'Maturity:200301', 'Strike_price:3900', 'CallPut:call', 'close:725']
['Date:20030103', 'Maturity:200301', 'Strike_price:4000', 'CallPut:call', 'close:625']
['Date:20030103', 'Maturity:200301', 'Strike_price:4100', 'CallPut:call', 'close:530']
['Date:20030103', 'Maturity:200301', 'Strike_price:4200', 'CallPut:call', 'close:432']
['Date:20030103', 'Maturity:200301', 'Strike_price:4300', 'CallPut:call', 'close:287']
['Date:20030103', 'Maturity:200301', 'Strike_price:4400', 'CallPut:call', 'close:213']
['Date:20030103', 'Maturity:200301', 'Strike_price:4500', 'CallPut:call', 'close:148']
['Date:20030103', 'Maturity:200301', 'Strike_price:4600', 'CallPut:call', 'close:95']
['Date:20030103', 'Maturity:200301', 'Strike_price:4700', 'CallPut:call', 'close:57']
['Date:20030103', 'Maturity:200301', 'Strike_price:4800', 'CallPut:call', 'close:30.5']
['Date:20030103', 'Maturity:200301', 'Strike_price:4900', 'CallPut:call', 'close:15']
['Date:20030103', 'Maturity:200301', 'Strike_price:5000', 'CallPut:call', 'close:6.8']
['Date:20030103', 'Maturity:200301', 'Strike_price:5100', 'CallPut:call', 'close:2.8']
['Date:20030103', 'Maturity:200302', 'Strike_price:4200', 'CallPut:call', 'close:475']
['Date:20030103', 'Maturity:200302', 'Strike_price:4300', 'CallPut:call', 'close:396']
['Date:20030103', 'Maturity:200302', 'Strike_price:4400', 'CallPut:call', 'close:324']
['Date:20030103', 'Maturity:200302', 'Strike_price:4500', 'CallPut:call', 'close:221']
['Date:20030103', 'Maturity:200302', 'Strike_price:4600', 'CallPut:call', 'close:175']
['Date:20030103', 'Maturity:200302', 'Strike_price:4700', 'CallPut:call', 'close:135']
['Date:20030103', 'Maturity:200302', 'Strike_price:4800', 'CallPut:call', 'close:102']
['Date:20030103', 'Maturity:200302', 'Strike_price:4900', 'CallPut:call', 'close:75']
['Date:20030103', 'Maturity:200302', 'Strike_price:5000', 'CallPut:call', 'close:55']
['Date:20030103', 'Maturity:200302', 'Strike_price:5100', 'CallPut:call', 'close:39']
['Date:20030106', 'Maturity:200301', 'Strike_price:3900', 'CallPut:call', 'close:790']
['Date:20030106', 'Maturity:200301', 'Strike_price:4000', 'CallPut:call', 'close:690']
['Date:20030106', 'Maturity:200301', 'Strike_price:4100', 'CallPut:call', 'close:590']
['Date:20030106', 'Maturity:200301', 'Strike_price:4200', 'CallPut:call', 'close:491']
['Date:20030106', 'Maturity:200301', 'Strike_price:4300', 'CallPut:call', 'close:339']
['Date:20030106', 'Maturity:200301', 'Strike_price:4400', 'CallPut:call', 'close:250']
['Date:20030106', 'Maturity:200301', 'Strike_price:4500', 'CallPut:call', 'close:173']
['Date:20030106', 'Maturity:200301', 'Strike_price:4600', 'CallPut:call', 'close:106']
['Date:20030106', 'Maturity:200301', 'Strike_price:4700', 'CallPut:call', 'close:57']
['Date:20030106', 'Maturity:200301', 'Strike_price:4800', 'CallPut:call', 'close:25']
['Date:20030106', 'Maturity:200301', 'Strike_price:4900', 'CallPut:call', 'close:9']
['Date:20030106', 'Maturity:200301', 'Strike_price:5000', 'CallPut:call', 'close:3.7']
['Date:20030106', 'Maturity:200302', 'Strike_price:4200', 'CallPut:call', 'close:510']
['Date:20030106', 'Maturity:200302', 'Strike_price:4300', 'CallPut:call', 'close:423']
['Date:20030106', 'Maturity:200302', 'Strike_price:4400', 'CallPut:call', 'close:341']
['Date:20030106', 'Maturity:200302', 'Strike_price:4500', 'CallPut:call', 'close:227']
['Date:20030106', 'Maturity:200302', 'Strike_price:4600', 'CallPut:call', 'close:173']
['Date:20030106', 'Maturity:200302', 'Strike_price:4700', 'CallPut:call', 'close:127']
['Date:20030106', 'Maturity:200302', 'Strike_price:4800', 'CallPut:call', 'close:91']
['Date:20030106', 'Maturity:200302', 'Strike_price:4900', 'CallPut:call', 'close:62']
['Date:20030106', 'Maturity:200302', 'Strike_price:5000', 'CallPut:call', 'close:41']
['Date:20030106', 'Maturity:200302', 'Strike_price:5100', 'CallPut:call', 'close:26']
['Date:20030107', 'Maturity:200301', 'Strike_price:3900', 'CallPut:call', 'close:800']
['Date:20030107', 'Maturity:200301', 'Strike_price:4000', 'CallPut:call', 'close:700']
['Date:20030107', 'Maturity:200301', 'Strike_price:4100', 'CallPut:call', 'close:600']
['Date:20030107', 'Maturity:200301', 'Strike_price:4200', 'CallPut:call', 'close:500']
['Date:20030107', 'Maturity:200301', 'Strike_price:4300', 'CallPut:call', 'close:344']
['Date:20030107', 'Maturity:200301', 'Strike_price:4400', 'CallPut:call', 'close:262']
['Date:20030107', 'Maturity:200301', 'Strike_price:4500', 'CallPut:call', 'close:186']
['Date:20030107', 'Maturity:200301', 'Strike_price:4600', 'CallPut:call', 'close:120']
['Date:20030107', 'Maturity:200301', 'Strike_price:4700', 'CallPut:call', 'close:69']
['Date:20030107', 'Maturity:200301', 'Strike_price:4800', 'CallPut:call', 'close:35.5']
['Date:20030107', 'Maturity:200301', 'Strike_price:4900', 'CallPut:call', 'close:15.5']
['Date:20030107', 'Maturity:200301', 'Strike_price:5000', 'CallPut:call', 'close:6']
['Date:20030107', 'Maturity:200301', 'Strike_price:5100', 'CallPut:call', 'close:2.3']
['Date:20030107', 'Maturity:200302', 'Strike_price:4200', 'CallPut:call', 'close:530']
['Date:20030107', 'Maturity:200302', 'Strike_price:4300', 'CallPut:call', 'close:382']
['Date:20030107', 'Maturity:200302', 'Strike_price:4400', 'CallPut:call', 'close:370']
['Date:20030107', 'Maturity:200302', 'Strike_price:4500', 'CallPut:call', 'close:299']
['Date:20030107', 'Maturity:200302', 'Strike_price:4600', 'CallPut:call', 'close:202']
['Date:20030107', 'Maturity:200302', 'Strike_price:4700', 'CallPut:call', 'close:156']
['Date:20030107', 'Maturity:200302', 'Strike_price:4800', 'CallPut:call', 'close:118']
['Date:20030107', 'Maturity:200302', 'Strike_price:4900', 'CallPut:call', 'close:87']
['Date:20030107', 'Maturity:200302', 'Strike_price:5000', 'CallPut:call', 'close:63']
['Date:20030107', 'Maturity:200302', 'Strike_price:5100', 'CallPut:call', 'close:44.5']
['Date:20030108', 'Maturity:200301', 'Strike_price:3900', 'CallPut:call', 'close:935']
['Date:20030108', 'Maturity:200301', 'Strike_price:4000', 'CallPut:call', 'close:835']
['Date:20030108', 'Maturity:200301', 'Strike_price:4100', 'CallPut:call', 'close:735']
['Date:20030108', 'Maturity:200301', 'Strike_price:4200', 'CallPut:call', 'close:635']
['Date:20030108', 'Maturity:200301', 'Strike_price:4300', 'CallPut:call', 'close:485']
['Date:20030108', 'Maturity:200301', 'Strike_price:4400', 'CallPut:call', 'close:380']
['Date:20030108', 'Maturity:200301', 'Strike_price:4500', 'CallPut:call', 'close:289']
['Date:20030108', 'Maturity:200301', 'Strike_price:4600', 'CallPut:call', 'close:207']
['Date:20030108', 'Maturity:200301', 'Strike_price:4700', 'CallPut:call', 'close:132']
['Date:20030108', 'Maturity:200301', 'Strike_price:4800', 'CallPut:call', 'close:74']
['Date:20030108', 'Maturity:200301', 'Strike_price:4900', 'CallPut:call', 'close:34']
['Date:20030108', 'Maturity:200301', 'Strike_price:5000', 'CallPut:call', 'close:12.5']
['Date:20030108', 'Maturity:200301', 'Strike_price:5100', 'CallPut:call', 'close:3.7']
['Date:20030108', 'Maturity:200302', 'Strike_price:4200', 'CallPut:call', 'close:650']
['Date:20030108', 'Maturity:200302', 'Strike_price:4300', 'CallPut:call', 'close:555']
['Date:20030108', 'Maturity:200302', 'Strike_price:4400', 'CallPut:call', 'close:466']
['Date:20030108', 'Maturity:200302', 'Strike_price:4500', 'CallPut:call', 'close:324']
['Date:20030108', 'Maturity:200302', 'Strike_price:4600', 'CallPut:call', 'close:258']
['Date:20030108', 'Maturity:200302', 'Strike_price:4700', 'CallPut:call', 'close:199']
['Date:20030108', 'Maturity:200302', 'Strike_price:4800', 'CallPut:call', 'close:150']
['Date:20030108', 'Maturity:200302', 'Strike_price:4900', 'CallPut:call', 'close:109']
['Date:20030108', 'Maturity:200302', 'Strike_price:5000', 'CallPut:call', 'close:77']
['Date:20030108', 'Maturity:200302', 'Strike_price:5100', 'CallPut:call', 'close:52']
['Date:20030109', 'Maturity:200301', 'Strike_price:3900', 'CallPut:call', 'close:910']
['Date:20030109', 'Maturity:200301', 'Strike_price:4000', 'CallPut:call', 'close:810']
['Date:20030109', 'Maturity:200301', 'Strike_price:4100', 'CallPut:call', 'close:710']
['Date:20030109', 'Maturity:200301', 'Strike_price:4200', 'CallPut:call', 'close:610']
['Date:20030109', 'Maturity:200301', 'Strike_price:4300', 'CallPut:call', 'close:510']
['Date:20030109', 'Maturity:200301', 'Strike_price:4400', 'CallPut:call', 'close:414']
['Date:20030109', 'Maturity:200301', 'Strike_price:4500', 'CallPut:call', 'close:295']
['Date:20030109', 'Maturity:200301', 'Strike_price:4600', 'CallPut:call', 'close:195']
['Date:20030109', 'Maturity:200301', 'Strike_price:4700', 'CallPut:call', 'close:114']
['Date:20030109', 'Maturity:200301', 'Strike_price:4800', 'CallPut:call', 'close:57']
['Date:20030109', 'Maturity:200301', 'Strike_price:4900', 'CallPut:call', 'close:23.5']
['Date:20030109', 'Maturity:200301', 'Strike_price:5000', 'CallPut:call', 'close:7.4']
['Date:20030109', 'Maturity:200301', 'Strike_price:5100', 'CallPut:call', 'close:2.3']
['Date:20030109', 'Maturity:200302', 'Strike_price:4200', 'CallPut:call', 'close:625']
['Date:20030109', 'Maturity:200302', 'Strike_price:4300', 'CallPut:call', 'close:530']
['Date:20030109', 'Maturity:200302', 'Strike_price:4400', 'CallPut:call', 'close:443']
['Date:20030109', 'Maturity:200302', 'Strike_price:4500', 'CallPut:call', 'close:359']
['Date:20030109', 'Maturity:200302', 'Strike_price:4600', 'CallPut:call', 'close:241']
['Date:20030109', 'Maturity:200302', 'Strike_price:4700', 'CallPut:call', 'close:184']
['Date:20030109', 'Maturity:200302', 'Strike_price:4800', 'CallPut:call', 'close:136']
['Date:20030109', 'Maturity:200302', 'Strike_price:4900', 'CallPut:call', 'close:97']
['Date:20030109', 'Maturity:200302', 'Strike_price:5000', 'CallPut:call', 'close:67']
['Date:20030109', 'Maturity:200302', 'Strike_price:5100', 'CallPut:call', 'close:44.5']
['Date:20030110', 'Maturity:200301', 'Strike_price:3900', 'CallPut:call', 'close:950']
['Date:20030110', 'Maturity:200301', 'Strike_price:4000', 'CallPut:call', 'close:850']
['Date:20030110', 'Maturity:200301', 'Strike_price:4100', 'CallPut:call', 'close:750']
['Date:20030110', 'Maturity:200301', 'Strike_price:4200', 'CallPut:call', 'close:650']
['Date:20030110', 'Maturity:200301', 'Strike_price:4300', 'CallPut:call', 'close:520']
['Date:20030110', 'Maturity:200301', 'Strike_price:4400', 'CallPut:call', 'close:415']
['Date:20030110', 'Maturity:200301', 'Strike_price:4500', 'CallPut:call', 'close:322']
['Date:20030110', 'Maturity:200301', 'Strike_price:4600', 'CallPut:call', 'close:220']
['Date:20030110', 'Maturity:200301', 'Strike_price:4700', 'CallPut:call', 'close:137']
['Date:20030110', 'Maturity:200301', 'Strike_price:4800', 'CallPut:call', 'close:73']
['Date:20030110', 'Maturity:200301', 'Strike_price:4900', 'CallPut:call', 'close:30.5']
['Date:20030110', 'Maturity:200301', 'Strike_price:5000', 'CallPut:call', 'close:9.4']
['Date:20030110', 'Maturity:200301', 'Strike_price:5100', 'CallPut:call', 'close:2.5']
['Date:20030110', 'Maturity:200302', 'Strike_price:4200', 'CallPut:call', 'close:660']
['Date:20030110', 'Maturity:200302', 'Strike_price:4300', 'CallPut:call', 'close:565']
['Date:20030110', 'Maturity:200302', 'Strike_price:4400', 'CallPut:call', 'close:476']
['Date:20030110', 'Maturity:200302', 'Strike_price:4500', 'CallPut:call', 'close:350']
['Date:20030110', 'Maturity:200302', 'Strike_price:4600', 'CallPut:call', 'close:270']
['Date:20030110', 'Maturity:200302', 'Strike_price:4700', 'CallPut:call', 'close:204']
['Date:20030110', 'Maturity:200302', 'Strike_price:4800', 'CallPut:call', 'close:152']
['Date:20030110', 'Maturity:200302', 'Strike_price:4900', 'CallPut:call', 'close:109']
['Date:20030110', 'Maturity:200302', 'Strike_price:5000', 'CallPut:call', 'close:76']
['Date:20030110', 'Maturity:200302', 'Strike_price:5100', 'CallPut:call', 'close:51']
['Date:20030113', 'Maturity:200301', 'Strike_price:3900', 'CallPut:call', 'close:1090']
['Date:20030113', 'Maturity:200301', 'Strike_price:4000', 'CallPut:call', 'close:990']
