['Date:20140102', 'Maturity:201401W2', 'Strike_price:8000', 'CallPut:call', 'close:610']
['Date:20140102', 'Maturity:201401W2', 'Strike_price:8100', 'CallPut:call', 'close:510']
['Date:20140102', 'Maturity:201401W2', 'Strike_price:8200', 'CallPut:call', 'close:411']
['Date:20140102', 'Maturity:201401W2', 'Strike_price:8300', 'CallPut:call', 'close:310']
['Date:20140102', 'Maturity:201401W2', 'Strike_price:8400', 'CallPut:call', 'close:210']
['Date:20140102', 'Maturity:201401W2', 'Strike_price:8450', 'CallPut:call', 'close:160']
['Date:20140102', 'Maturity:201401W2', 'Strike_price:8500', 'CallPut:call', 'close:117']
['Date:20140102', 'Maturity:201401W2', 'Strike_price:8550', 'CallPut:call', 'close:77']
['Date:20140102', 'Maturity:201401W2', 'Strike_price:8600', 'CallPut:call', 'close:42.5']
['Date:20140102', 'Maturity:201401W2', 'Strike_price:8650', 'CallPut:call', 'close:21.5']
['Date:20140102', 'Maturity:201401W2', 'Strike_price:8700', 'CallPut:call', 'close:8.5']
['Date:20140102', 'Maturity:201401W2', 'Strike_price:8750', 'CallPut:call', 'close:3.2']
['Date:20140102', 'Maturity:201401W2', 'Strike_price:8800', 'CallPut:call', 'close:1.1']
['Date:20140102', 'Maturity:201401', 'Strike_price:6800', 'CallPut:call', 'close:1810']
['Date:20140102', 'Maturity:201401', 'Strike_price:6900', 'CallPut:call', 'close:1710']
['Date:20140102', 'Maturity:201401', 'Strike_price:7000', 'CallPut:call', 'close:1610']
['Date:20140102', 'Maturity:201401', 'Strike_price:7100', 'CallPut:call', 'close:1510']
['Date:20140102', 'Maturity:201401', 'Strike_price:7200', 'CallPut:call', 'close:1410']
['Date:20140102', 'Maturity:201401', 'Strike_price:7300', 'CallPut:call', 'close:1310']
['Date:20140102', 'Maturity:201401', 'Strike_price:7400', 'CallPut:call', 'close:1210']
['Date:20140102', 'Maturity:201401', 'Strike_price:7500', 'CallPut:call', 'close:1110']
['Date:20140102', 'Maturity:201401', 'Strike_price:7600', 'CallPut:call', 'close:1020']
['Date:20140102', 'Maturity:201401', 'Strike_price:7700', 'CallPut:call', 'close:915']
['Date:20140102', 'Maturity:201401', 'Strike_price:7800', 'CallPut:call', 'close:815']
['Date:20140102', 'Maturity:201401', 'Strike_price:7900', 'CallPut:call', 'close:715']
['Date:20140102', 'Maturity:201401', 'Strike_price:8000', 'CallPut:call', 'close:610']
['Date:20140102', 'Maturity:201401', 'Strike_price:8100', 'CallPut:call', 'close:515']
['Date:20140102', 'Maturity:201401', 'Strike_price:8200', 'CallPut:call', 'close:419']
['Date:20140102', 'Maturity:201401', 'Strike_price:8300', 'CallPut:call', 'close:322']
['Date:20140102', 'Maturity:201401', 'Strike_price:8400', 'CallPut:call', 'close:224']
['Date:20140102', 'Maturity:201401', 'Strike_price:8500', 'CallPut:call', 'close:138']
['Date:20140102', 'Maturity:201401', 'Strike_price:8600', 'CallPut:call', 'close:68']
['Date:20140102', 'Maturity:201401', 'Strike_price:8700', 'CallPut:call', 'close:25']
['Date:20140102', 'Maturity:201401', 'Strike_price:8800', 'CallPut:call', 'close:6.8']
['Date:20140102', 'Maturity:201401', 'Strike_price:8900', 'CallPut:call', 'close:1.5']
['Date:20140102', 'Maturity:201402', 'Strike_price:6800', 'CallPut:call', 'close:1800']
['Date:20140102', 'Maturity:201402', 'Strike_price:6900', 'CallPut:call', 'close:1700']
['Date:20140102', 'Maturity:201402', 'Strike_price:7000', 'CallPut:call', 'close:1600']
['Date:20140102', 'Maturity:201402', 'Strike_price:7100', 'CallPut:call', 'close:1500']
['Date:20140102', 'Maturity:201402', 'Strike_price:7200', 'CallPut:call', 'close:1400']
['Date:20140102', 'Maturity:201402', 'Strike_price:7300', 'CallPut:call', 'close:1300']
['Date:20140102', 'Maturity:201402', 'Strike_price:7400', 'CallPut:call', 'close:1200']
