['Date:20150105', 'Maturity:201501W1', 'Strike_price:8600', 'CallPut:call', 'close:650']
['Date:20150105', 'Maturity:201501W1', 'Strike_price:8700', 'CallPut:call', 'close:550']
['Date:20150105', 'Maturity:201501W1', 'Strike_price:8800', 'CallPut:call', 'close:450']
['Date:20150105', 'Maturity:201501W1', 'Strike_price:8900', 'CallPut:call', 'close:350']
['Date:20150105', 'Maturity:201501W1', 'Strike_price:9000', 'CallPut:call', 'close:261']
['Date:20150105', 'Maturity:201501W1', 'Strike_price:9050', 'CallPut:call', 'close:213']
['Date:20150105', 'Maturity:201501W1', 'Strike_price:9100', 'CallPut:call', 'close:162']
['Date:20150105', 'Maturity:201501W1', 'Strike_price:9150', 'CallPut:call', 'close:118']
['Date:20150105', 'Maturity:201501W1', 'Strike_price:9200', 'CallPut:call', 'close:76']
['Date:20150105', 'Maturity:201501W1', 'Strike_price:9250', 'CallPut:call', 'close:43']
['Date:20150105', 'Maturity:201501W1', 'Strike_price:9300', 'CallPut:call', 'close:20.5']
['Date:20150105', 'Maturity:201501W1', 'Strike_price:9350', 'CallPut:call', 'close:7.2']
['Date:20150105', 'Maturity:201501W1', 'Strike_price:9400', 'CallPut:call', 'close:1.5']
['Date:20150105', 'Maturity:201501', 'Strike_price:7200', 'CallPut:call', 'close:2050']
['Date:20150105', 'Maturity:201501', 'Strike_price:7300', 'CallPut:call', 'close:1950']
['Date:20150105', 'Maturity:201501', 'Strike_price:7400', 'CallPut:call', 'close:1850']
['Date:20150105', 'Maturity:201501', 'Strike_price:7500', 'CallPut:call', 'close:1750']
['Date:20150105', 'Maturity:201501', 'Strike_price:7600', 'CallPut:call', 'close:1650']
['Date:20150105', 'Maturity:201501', 'Strike_price:7700', 'CallPut:call', 'close:1550']
['Date:20150105', 'Maturity:201501', 'Strike_price:7800', 'CallPut:call', 'close:1450']
['Date:20150105', 'Maturity:201501', 'Strike_price:7900', 'CallPut:call', 'close:1350']
['Date:20150105', 'Maturity:201501', 'Strike_price:8000', 'CallPut:call', 'close:1250']
['Date:20150105', 'Maturity:201501', 'Strike_price:8100', 'CallPut:call', 'close:1150']
['Date:20150105', 'Maturity:201501', 'Strike_price:8200', 'CallPut:call', 'close:1050']
['Date:20150105', 'Maturity:201501', 'Strike_price:8300', 'CallPut:call', 'close:950']
['Date:20150105', 'Maturity:201501', 'Strike_price:8400', 'CallPut:call', 'close:855']
['Date:20150105', 'Maturity:201501', 'Strike_price:8500', 'CallPut:call', 'close:755']
['Date:20150105', 'Maturity:201501', 'Strike_price:8600', 'CallPut:call', 'close:655']
['Date:20150105', 'Maturity:201501', 'Strike_price:8700', 'CallPut:call', 'close:555']
['Date:20150105', 'Maturity:201501', 'Strike_price:8800', 'CallPut:call', 'close:460']
['Date:20150105', 'Maturity:201501', 'Strike_price:8900', 'CallPut:call', 'close:365']
['Date:20150105', 'Maturity:201501', 'Strike_price:9000', 'CallPut:call', 'close:276']
['Date:20150105', 'Maturity:201501', 'Strike_price:9100', 'CallPut:call', 'close:194']
['Date:20150105', 'Maturity:201501', 'Strike_price:9200', 'CallPut:call', 'close:126']
['Date:20150105', 'Maturity:201501', 'Strike_price:9300', 'CallPut:call', 'close:72']
['Date:20150105', 'Maturity:201501', 'Strike_price:9400', 'CallPut:call', 'close:35.5']
['Date:20150105', 'Maturity:201501', 'Strike_price:9500', 'CallPut:call', 'close:14']
['Date:20150105', 'Maturity:201501', 'Strike_price:9600', 'CallPut:call', 'close:4.5']
['Date:20150105', 'Maturity:201501', 'Strike_price:9700', 'CallPut:call', 'close:1.3']
['Date:20150105', 'Maturity:201502', 'Strike_price:7500', 'CallPut:call', 'close:1740']
['Date:20150105', 'Maturity:201502', 'Strike_price:7600', 'CallPut:call', 'close:1640']
['Date:20150105', 'Maturity:201502', 'Strike_price:7700', 'CallPut:call', 'close:1540']
['Date:20150105', 'Maturity:201502', 'Strike_price:7800', 'CallPut:call', 'close:1440']
['Date:20150105', 'Maturity:201502', 'Strike_price:7900', 'CallPut:call', 'close:1340']
['Date:20150105', 'Maturity:201502', 'Strike_price:8000', 'CallPut:call', 'close:1250']
