['Date:20171218', 'Maturity:201712', 'Strike_price:7600', 'CallPut:call', 'close:2900']
['Date:20171218', 'Maturity:201712', 'Strike_price:7700', 'CallPut:call', 'close:2800']
['Date:20171218', 'Maturity:201712', 'Strike_price:7800', 'CallPut:call', 'close:2700']
['Date:20171218', 'Maturity:201712', 'Strike_price:7900', 'CallPut:call', 'close:2600']
['Date:20171218', 'Maturity:201712', 'Strike_price:8000', 'CallPut:call', 'close:2500']
['Date:20171218', 'Maturity:201712', 'Strike_price:8100', 'CallPut:call', 'close:2400']
['Date:20171218', 'Maturity:201712', 'Strike_price:8200', 'CallPut:call', 'close:2300']
['Date:20171218', 'Maturity:201712', 'Strike_price:8300', 'CallPut:call', 'close:2200']
['Date:20171218', 'Maturity:201712', 'Strike_price:8400', 'CallPut:call', 'close:2100']
['Date:20171218', 'Maturity:201712', 'Strike_price:8500', 'CallPut:call', 'close:2000']
['Date:20171218', 'Maturity:201712', 'Strike_price:8600', 'CallPut:call', 'close:1900']
['Date:20171218', 'Maturity:201712', 'Strike_price:8700', 'CallPut:call', 'close:1800']
['Date:20171218', 'Maturity:201712', 'Strike_price:8800', 'CallPut:call', 'close:1700']
['Date:20171218', 'Maturity:201712', 'Strike_price:8900', 'CallPut:call', 'close:1600']
['Date:20171218', 'Maturity:201712', 'Strike_price:9000', 'CallPut:call', 'close:1500']
['Date:20171218', 'Maturity:201712', 'Strike_price:9100', 'CallPut:call', 'close:1400']
['Date:20171218', 'Maturity:201712', 'Strike_price:9200', 'CallPut:call', 'close:1300']
['Date:20171218', 'Maturity:201712', 'Strike_price:9300', 'CallPut:call', 'close:1200']
['Date:20171218', 'Maturity:201712', 'Strike_price:9400', 'CallPut:call', 'close:1100']
['Date:20171218', 'Maturity:201712', 'Strike_price:9500', 'CallPut:call', 'close:1000']
['Date:20171218', 'Maturity:201712', 'Strike_price:9600', 'CallPut:call', 'close:900']
['Date:20171218', 'Maturity:201712', 'Strike_price:9700', 'CallPut:call', 'close:800']
['Date:20171218', 'Maturity:201712', 'Strike_price:9800', 'CallPut:call', 'close:700']
['Date:20171218', 'Maturity:201712', 'Strike_price:9900', 'CallPut:call', 'close:600']
['Date:20171218', 'Maturity:201712', 'Strike_price:10000', 'CallPut:call', 'close:500']
['Date:20171218', 'Maturity:201712', 'Strike_price:10100', 'CallPut:call', 'close:401']
['Date:20171218', 'Maturity:201712', 'Strike_price:10150', 'CallPut:call', 'close:352']
['Date:20171218', 'Maturity:201712', 'Strike_price:10200', 'CallPut:call', 'close:302']
['Date:20171218', 'Maturity:201712', 'Strike_price:10250', 'CallPut:call', 'close:252']
['Date:20171218', 'Maturity:201712', 'Strike_price:10300', 'CallPut:call', 'close:204']
['Date:20171218', 'Maturity:201712', 'Strike_price:10350', 'CallPut:call', 'close:156']
['Date:20171218', 'Maturity:201712', 'Strike_price:10400', 'CallPut:call', 'close:111']
['Date:20171218', 'Maturity:201712', 'Strike_price:10450', 'CallPut:call', 'close:70']
['Date:20171218', 'Maturity:201712', 'Strike_price:10500', 'CallPut:call', 'close:37']
['Date:20171218', 'Maturity:201712', 'Strike_price:10550', 'CallPut:call', 'close:16']
['Date:20171218', 'Maturity:201712', 'Strike_price:10600', 'CallPut:call', 'close:5.2']
['Date:20171218', 'Maturity:201712', 'Strike_price:10650', 'CallPut:call', 'close:1.1']
['Date:20171218', 'Maturity:201801', 'Strike_price:8800', 'CallPut:call', 'close:1690']
['Date:20171218', 'Maturity:201801', 'Strike_price:8900', 'CallPut:call', 'close:1590']
['Date:20171218', 'Maturity:201801', 'Strike_price:9000', 'CallPut:call', 'close:1490']
['Date:20171218', 'Maturity:201801', 'Strike_price:9100', 'CallPut:call', 'close:1390']
['Date:20171218', 'Maturity:201801', 'Strike_price:9200', 'CallPut:call', 'close:1290']
['Date:20171218', 'Maturity:201801', 'Strike_price:9300', 'CallPut:call', 'close:1190']
['Date:20171218', 'Maturity:201801', 'Strike_price:9400', 'CallPut:call', 'close:1090']
['Date:20171218', 'Maturity:201801', 'Strike_price:9500', 'CallPut:call', 'close:995']
['Date:20171218', 'Maturity:201801', 'Strike_price:9600', 'CallPut:call', 'close:895']
['Date:20171218', 'Maturity:201801', 'Strike_price:9700', 'CallPut:call', 'close:795']
['Date:20171218', 'Maturity:201801', 'Strike_price:9800', 'CallPut:call', 'close:700']
['Date:20171218', 'Maturity:201801', 'Strike_price:9900', 'CallPut:call', 'close:605']
['Date:20171218', 'Maturity:201801', 'Strike_price:10000', 'CallPut:call', 'close:510']
['Date:20171218', 'Maturity:201801', 'Strike_price:10100', 'CallPut:call', 'close:415']
['Date:20171218', 'Maturity:201801', 'Strike_price:10200', 'CallPut:call', 'close:329']
['Date:20171218', 'Maturity:201801', 'Strike_price:10300', 'CallPut:call', 'close:252']
['Date:20171218', 'Maturity:201801', 'Strike_price:10400', 'CallPut:call', 'close:180']
['Date:20171218', 'Maturity:201801', 'Strike_price:10500', 'CallPut:call', 'close:119']
['Date:20171218', 'Maturity:201801', 'Strike_price:10600', 'CallPut:call', 'close:74']
['Date:20171218', 'Maturity:201801', 'Strike_price:10700', 'CallPut:call', 'close:41']
['Date:20171218', 'Maturity:201801', 'Strike_price:10800', 'CallPut:call', 'close:22']
['Date:20171218', 'Maturity:201801', 'Strike_price:10900', 'CallPut:call', 'close:10.5']
['Date:20171218', 'Maturity:201801', 'Strike_price:11000', 'CallPut:call', 'close:5.4']
['Date:20171218', 'Maturity:201801', 'Strike_price:11100', 'CallPut:call', 'close:3']
['Date:20171218', 'Maturity:201801', 'Strike_price:11200', 'CallPut:call', 'close:1.7']
['Date:20171219', 'Maturity:201712', 'Strike_price:7600', 'CallPut:call', 'close:2860']
['Date:20171219', 'Maturity:201712', 'Strike_price:7700', 'CallPut:call', 'close:2760']
['Date:20171219', 'Maturity:201712', 'Strike_price:7800', 'CallPut:call', 'close:2660']
['Date:20171219', 'Maturity:201712', 'Strike_price:7900', 'CallPut:call', 'close:2560']
['Date:20171219', 'Maturity:201712', 'Strike_price:8000', 'CallPut:call', 'close:2460']
['Date:20171219', 'Maturity:201712', 'Strike_price:8100', 'CallPut:call', 'close:2360']
['Date:20171219', 'Maturity:201712', 'Strike_price:8200', 'CallPut:call', 'close:2260']
['Date:20171219', 'Maturity:201712', 'Strike_price:8300', 'CallPut:call', 'close:2160']
['Date:20171219', 'Maturity:201712', 'Strike_price:8400', 'CallPut:call', 'close:2060']
['Date:20171219', 'Maturity:201712', 'Strike_price:8500', 'CallPut:call', 'close:1960']
['Date:20171219', 'Maturity:201712', 'Strike_price:8600', 'CallPut:call', 'close:1860']
['Date:20171219', 'Maturity:201712', 'Strike_price:8700', 'CallPut:call', 'close:1760']
['Date:20171219', 'Maturity:201712', 'Strike_price:8800', 'CallPut:call', 'close:1660']
['Date:20171219', 'Maturity:201712', 'Strike_price:8900', 'CallPut:call', 'close:1560']
['Date:20171219', 'Maturity:201712', 'Strike_price:9000', 'CallPut:call', 'close:1460']
['Date:20171219', 'Maturity:201712', 'Strike_price:9100', 'CallPut:call', 'close:1360']
['Date:20171219', 'Maturity:201712', 'Strike_price:9200', 'CallPut:call', 'close:1260']
['Date:20171219', 'Maturity:201712', 'Strike_price:9300', 'CallPut:call', 'close:1160']
['Date:20171219', 'Maturity:201712', 'Strike_price:9400', 'CallPut:call', 'close:1060']
['Date:20171219', 'Maturity:201712', 'Strike_price:9500', 'CallPut:call', 'close:960']
['Date:20171219', 'Maturity:201712', 'Strike_price:9600', 'CallPut:call', 'close:860']
['Date:20171219', 'Maturity:201712', 'Strike_price:9700', 'CallPut:call', 'close:760']
['Date:20171219', 'Maturity:201712', 'Strike_price:9800', 'CallPut:call', 'close:660']
['Date:20171219', 'Maturity:201712', 'Strike_price:9900', 'CallPut:call', 'close:560']
['Date:20171219', 'Maturity:201712', 'Strike_price:10000', 'CallPut:call', 'close:460']
['Date:20171219', 'Maturity:201712', 'Strike_price:10100', 'CallPut:call', 'close:360']
['Date:20171219', 'Maturity:201712', 'Strike_price:10150', 'CallPut:call', 'close:310']
['Date:20171219', 'Maturity:201712', 'Strike_price:10200', 'CallPut:call', 'close:260']
['Date:20171219', 'Maturity:201712', 'Strike_price:10250', 'CallPut:call', 'close:210']
['Date:20171219', 'Maturity:201712', 'Strike_price:10300', 'CallPut:call', 'close:160']
['Date:20171219', 'Maturity:201712', 'Strike_price:10350', 'CallPut:call', 'close:111']
['Date:20171219', 'Maturity:201712', 'Strike_price:10400', 'CallPut:call', 'close:68']
['Date:20171219', 'Maturity:201712', 'Strike_price:10450', 'CallPut:call', 'close:32.5']
['Date:20171219', 'Maturity:201712', 'Strike_price:10500', 'CallPut:call', 'close:10.5']
['Date:20171219', 'Maturity:201712', 'Strike_price:10550', 'CallPut:call', 'close:2.6']
['Date:20171219', 'Maturity:201712', 'Strike_price:10600', 'CallPut:call', 'close:1.1']
['Date:20171219', 'Maturity:201801', 'Strike_price:8800', 'CallPut:call', 'close:1640']
['Date:20171219', 'Maturity:201801', 'Strike_price:8900', 'CallPut:call', 'close:1540']
['Date:20171219', 'Maturity:201801', 'Strike_price:9000', 'CallPut:call', 'close:1450']
['Date:20171219', 'Maturity:201801', 'Strike_price:9100', 'CallPut:call', 'close:1350']
['Date:20171219', 'Maturity:201801', 'Strike_price:9200', 'CallPut:call', 'close:1250']
['Date:20171219', 'Maturity:201801', 'Strike_price:9300', 'CallPut:call', 'close:1150']
['Date:20171219', 'Maturity:201801', 'Strike_price:9400', 'CallPut:call', 'close:1050']
['Date:20171219', 'Maturity:201801', 'Strike_price:9500', 'CallPut:call', 'close:950']
['Date:20171219', 'Maturity:201801', 'Strike_price:9600', 'CallPut:call', 'close:850']
['Date:20171219', 'Maturity:201801', 'Strike_price:9700', 'CallPut:call', 'close:755']
['Date:20171219', 'Maturity:201801', 'Strike_price:9800', 'CallPut:call', 'close:655']
['Date:20171219', 'Maturity:201801', 'Strike_price:9900', 'CallPut:call', 'close:555']
['Date:20171219', 'Maturity:201801', 'Strike_price:10000', 'CallPut:call', 'close:467']
['Date:20171219', 'Maturity:201801', 'Strike_price:10100', 'CallPut:call', 'close:378']
['Date:20171219', 'Maturity:201801', 'Strike_price:10200', 'CallPut:call', 'close:293']
['Date:20171219', 'Maturity:201801', 'Strike_price:10300', 'CallPut:call', 'close:217']
['Date:20171219', 'Maturity:201801', 'Strike_price:10400', 'CallPut:call', 'close:151']
['Date:20171219', 'Maturity:201801', 'Strike_price:10500', 'CallPut:call', 'close:98']
['Date:20171219', 'Maturity:201801', 'Strike_price:10600', 'CallPut:call', 'close:59']
['Date:20171219', 'Maturity:201801', 'Strike_price:10700', 'CallPut:call', 'close:32']
['Date:20171219', 'Maturity:201801', 'Strike_price:10800', 'CallPut:call', 'close:17.5']
['Date:20171219', 'Maturity:201801', 'Strike_price:10900', 'CallPut:call', 'close:8.7']
['Date:20171219', 'Maturity:201801', 'Strike_price:11000', 'CallPut:call', 'close:4.7']
['Date:20171219', 'Maturity:201801', 'Strike_price:11100', 'CallPut:call', 'close:2.7']
['Date:20171219', 'Maturity:201801', 'Strike_price:11200', 'CallPut:call', 'close:1.7']
['Date:20171220', 'Maturity:201712W4', 'Strike_price:9700', 'CallPut:call', 'close:820']
['Date:20171220', 'Maturity:201712W4', 'Strike_price:9800', 'CallPut:call', 'close:720']
['Date:20171220', 'Maturity:201712W4', 'Strike_price:9900', 'CallPut:call', 'close:620']
['Date:20171220', 'Maturity:201712W4', 'Strike_price:10000', 'CallPut:call', 'close:520']
['Date:20171220', 'Maturity:201712W4', 'Strike_price:10100', 'CallPut:call', 'close:420']
['Date:20171220', 'Maturity:201712W4', 'Strike_price:10200', 'CallPut:call', 'close:320']
['Date:20171220', 'Maturity:201712W4', 'Strike_price:10250', 'CallPut:call', 'close:273']
['Date:20171220', 'Maturity:201712W4', 'Strike_price:10300', 'CallPut:call', 'close:226']
['Date:20171220', 'Maturity:201712W4', 'Strike_price:10350', 'CallPut:call', 'close:182']
['Date:20171220', 'Maturity:201712W4', 'Strike_price:10400', 'CallPut:call', 'close:139']
['Date:20171220', 'Maturity:201712W4', 'Strike_price:10450', 'CallPut:call', 'close:101']
['Date:20171220', 'Maturity:201712W4', 'Strike_price:10500', 'CallPut:call', 'close:68']
['Date:20171220', 'Maturity:201712W4', 'Strike_price:10550', 'CallPut:call', 'close:40.5']
['Date:20171220', 'Maturity:201712W4', 'Strike_price:10600', 'CallPut:call', 'close:22']
['Date:20171220', 'Maturity:201712W4', 'Strike_price:10650', 'CallPut:call', 'close:10.5']
['Date:20171220', 'Maturity:201712W4', 'Strike_price:10700', 'CallPut:call', 'close:4.8']
['Date:20171220', 'Maturity:201712W4', 'Strike_price:10750', 'CallPut:call', 'close:2.2']
['Date:20171220', 'Maturity:201801', 'Strike_price:8800', 'CallPut:call', 'close:1710']
['Date:20171220', 'Maturity:201801', 'Strike_price:8900', 'CallPut:call', 'close:1610']
['Date:20171220', 'Maturity:201801', 'Strike_price:9000', 'CallPut:call', 'close:1510']
['Date:20171220', 'Maturity:201801', 'Strike_price:9100', 'CallPut:call', 'close:1410']
['Date:20171220', 'Maturity:201801', 'Strike_price:9200', 'CallPut:call', 'close:1310']
['Date:20171220', 'Maturity:201801', 'Strike_price:9300', 'CallPut:call', 'close:1210']
['Date:20171220', 'Maturity:201801', 'Strike_price:9400', 'CallPut:call', 'close:1110']
['Date:20171220', 'Maturity:201801', 'Strike_price:9500', 'CallPut:call', 'close:1010']
['Date:20171220', 'Maturity:201801', 'Strike_price:9600', 'CallPut:call', 'close:910']
['Date:20171220', 'Maturity:201801', 'Strike_price:9700', 'CallPut:call', 'close:815']
['Date:20171220', 'Maturity:201801', 'Strike_price:9800', 'CallPut:call', 'close:715']
['Date:20171220', 'Maturity:201801', 'Strike_price:9900', 'CallPut:call', 'close:620']
['Date:20171220', 'Maturity:201801', 'Strike_price:10000', 'CallPut:call', 'close:525']
['Date:20171220', 'Maturity:201801', 'Strike_price:10100', 'CallPut:call', 'close:430']
['Date:20171220', 'Maturity:201801', 'Strike_price:10200', 'CallPut:call', 'close:341']
['Date:20171220', 'Maturity:201801', 'Strike_price:10300', 'CallPut:call', 'close:259']
['Date:20171220', 'Maturity:201801', 'Strike_price:10400', 'CallPut:call', 'close:184']
['Date:20171220', 'Maturity:201801', 'Strike_price:10500', 'CallPut:call', 'close:122']
['Date:20171220', 'Maturity:201801', 'Strike_price:10600', 'CallPut:call', 'close:73']
['Date:20171220', 'Maturity:201801', 'Strike_price:10700', 'CallPut:call', 'close:40']
['Date:20171220', 'Maturity:201801', 'Strike_price:10800', 'CallPut:call', 'close:19.5']
['Date:20171220', 'Maturity:201801', 'Strike_price:10900', 'CallPut:call', 'close:9.3']
['Date:20171220', 'Maturity:201801', 'Strike_price:11000', 'CallPut:call', 'close:4.3']
['Date:20171220', 'Maturity:201801', 'Strike_price:11100', 'CallPut:call', 'close:2.3']
['Date:20171220', 'Maturity:201801', 'Strike_price:11200', 'CallPut:call', 'close:1.3']
['Date:20171221', 'Maturity:201712W4', 'Strike_price:9700', 'CallPut:call', 'close:805']
['Date:20171221', 'Maturity:201712W4', 'Strike_price:9800', 'CallPut:call', 'close:705']
['Date:20171221', 'Maturity:201712W4', 'Strike_price:9900', 'CallPut:call', 'close:605']
['Date:20171221', 'Maturity:201712W4', 'Strike_price:10000', 'CallPut:call', 'close:505']
['Date:20171221', 'Maturity:201712W4', 'Strike_price:10100', 'CallPut:call', 'close:405']
['Date:20171221', 'Maturity:201712W4', 'Strike_price:10200', 'CallPut:call', 'close:305']
['Date:20171221', 'Maturity:201712W4', 'Strike_price:10250', 'CallPut:call', 'close:255']
['Date:20171221', 'Maturity:201712W4', 'Strike_price:10300', 'CallPut:call', 'close:207']
['Date:20171221', 'Maturity:201712W4', 'Strike_price:10350', 'CallPut:call', 'close:162']
['Date:20171221', 'Maturity:201712W4', 'Strike_price:10400', 'CallPut:call', 'close:118']
['Date:20171221', 'Maturity:201712W4', 'Strike_price:10450', 'CallPut:call', 'close:78']
['Date:20171221', 'Maturity:201712W4', 'Strike_price:10500', 'CallPut:call', 'close:47.5']
['Date:20171221', 'Maturity:201712W4', 'Strike_price:10550', 'CallPut:call', 'close:24.5']
['Date:20171221', 'Maturity:201712W4', 'Strike_price:10600', 'CallPut:call', 'close:10.5']
['Date:20171221', 'Maturity:201712W4', 'Strike_price:10650', 'CallPut:call', 'close:3.5']
['Date:20171221', 'Maturity:201801', 'Strike_price:8800', 'CallPut:call', 'close:1700']
['Date:20171221', 'Maturity:201801', 'Strike_price:8900', 'CallPut:call', 'close:1600']
['Date:20171221', 'Maturity:201801', 'Strike_price:9000', 'CallPut:call', 'close:1500']
['Date:20171221', 'Maturity:201801', 'Strike_price:9100', 'CallPut:call', 'close:1400']
['Date:20171221', 'Maturity:201801', 'Strike_price:9200', 'CallPut:call', 'close:1300']
['Date:20171221', 'Maturity:201801', 'Strike_price:9300', 'CallPut:call', 'close:1200']
['Date:20171221', 'Maturity:201801', 'Strike_price:9400', 'CallPut:call', 'close:1100']
['Date:20171221', 'Maturity:201801', 'Strike_price:9500', 'CallPut:call', 'close:1000']
['Date:20171221', 'Maturity:201801', 'Strike_price:9600', 'CallPut:call', 'close:900']
['Date:20171221', 'Maturity:201801', 'Strike_price:9700', 'CallPut:call', 'close:800']
['Date:20171221', 'Maturity:201801', 'Strike_price:9800', 'CallPut:call', 'close:700']
['Date:20171221', 'Maturity:201801', 'Strike_price:9900', 'CallPut:call', 'close:610']
['Date:20171221', 'Maturity:201801', 'Strike_price:10000', 'CallPut:call', 'close:510']
['Date:20171221', 'Maturity:201801', 'Strike_price:10100', 'CallPut:call', 'close:413']
['Date:20171221', 'Maturity:201801', 'Strike_price:10200', 'CallPut:call', 'close:322']
['Date:20171221', 'Maturity:201801', 'Strike_price:10300', 'CallPut:call', 'close:238']
['Date:20171221', 'Maturity:201801', 'Strike_price:10400', 'CallPut:call', 'close:166']
['Date:20171221', 'Maturity:201801', 'Strike_price:10500', 'CallPut:call', 'close:102']
['Date:20171221', 'Maturity:201801', 'Strike_price:10600', 'CallPut:call', 'close:58']
['Date:20171221', 'Maturity:201801', 'Strike_price:10700', 'CallPut:call', 'close:28.5']
['Date:20171221', 'Maturity:201801', 'Strike_price:10800', 'CallPut:call', 'close:12.5']
['Date:20171221', 'Maturity:201801', 'Strike_price:10900', 'CallPut:call', 'close:5.5']
['Date:20171221', 'Maturity:201801', 'Strike_price:11000', 'CallPut:call', 'close:2.3']
['Date:20171221', 'Maturity:201801', 'Strike_price:11100', 'CallPut:call', 'close:1.2']
['Date:20171222', 'Maturity:201712W4', 'Strike_price:9700', 'CallPut:call', 'close:840']
['Date:20171222', 'Maturity:201712W4', 'Strike_price:9800', 'CallPut:call', 'close:740']
['Date:20171222', 'Maturity:201712W4', 'Strike_price:9900', 'CallPut:call', 'close:640']
['Date:20171222', 'Maturity:201712W4', 'Strike_price:10000', 'CallPut:call', 'close:540']
['Date:20171222', 'Maturity:201712W4', 'Strike_price:10100', 'CallPut:call', 'close:441']
['Date:20171222', 'Maturity:201712W4', 'Strike_price:10200', 'CallPut:call', 'close:341']
['Date:20171222', 'Maturity:201712W4', 'Strike_price:10250', 'CallPut:call', 'close:291']
['Date:20171222', 'Maturity:201712W4', 'Strike_price:10300', 'CallPut:call', 'close:242']
['Date:20171222', 'Maturity:201712W4', 'Strike_price:10350', 'CallPut:call', 'close:195']
['Date:20171222', 'Maturity:201712W4', 'Strike_price:10400', 'CallPut:call', 'close:147']
['Date:20171222', 'Maturity:201712W4', 'Strike_price:10450', 'CallPut:call', 'close:101']
['Date:20171222', 'Maturity:201712W4', 'Strike_price:10500', 'CallPut:call', 'close:61']
['Date:20171222', 'Maturity:201712W4', 'Strike_price:10550', 'CallPut:call', 'close:30.5']
['Date:20171222', 'Maturity:201712W4', 'Strike_price:10600', 'CallPut:call', 'close:11']
['Date:20171222', 'Maturity:201712W4', 'Strike_price:10650', 'CallPut:call', 'close:3.2']
['Date:20171222', 'Maturity:201801', 'Strike_price:8800', 'CallPut:call', 'close:1730']
['Date:20171222', 'Maturity:201801', 'Strike_price:8900', 'CallPut:call', 'close:1630']
['Date:20171222', 'Maturity:201801', 'Strike_price:9000', 'CallPut:call', 'close:1530']
['Date:20171222', 'Maturity:201801', 'Strike_price:9100', 'CallPut:call', 'close:1430']
['Date:20171222', 'Maturity:201801', 'Strike_price:9200', 'CallPut:call', 'close:1330']
['Date:20171222', 'Maturity:201801', 'Strike_price:9300', 'CallPut:call', 'close:1230']
['Date:20171222', 'Maturity:201801', 'Strike_price:9400', 'CallPut:call', 'close:1130']
['Date:20171222', 'Maturity:201801', 'Strike_price:9500', 'CallPut:call', 'close:1030']
['Date:20171222', 'Maturity:201801', 'Strike_price:9600', 'CallPut:call', 'close:935']
['Date:20171222', 'Maturity:201801', 'Strike_price:9700', 'CallPut:call', 'close:835']
['Date:20171222', 'Maturity:201801', 'Strike_price:9800', 'CallPut:call', 'close:740']
['Date:20171222', 'Maturity:201801', 'Strike_price:9900', 'CallPut:call', 'close:640']
['Date:20171222', 'Maturity:201801', 'Strike_price:10000', 'CallPut:call', 'close:540']
['Date:20171222', 'Maturity:201801', 'Strike_price:10100', 'CallPut:call', 'close:446']
['Date:20171222', 'Maturity:201801', 'Strike_price:10200', 'CallPut:call', 'close:351']
['Date:20171222', 'Maturity:201801', 'Strike_price:10300', 'CallPut:call', 'close:266']
['Date:20171222', 'Maturity:201801', 'Strike_price:10400', 'CallPut:call', 'close:186']
['Date:20171222', 'Maturity:201801', 'Strike_price:10500', 'CallPut:call', 'close:119']
['Date:20171222', 'Maturity:201801', 'Strike_price:10600', 'CallPut:call', 'close:67']
['Date:20171222', 'Maturity:201801', 'Strike_price:10700', 'CallPut:call', 'close:34.5']
['Date:20171222', 'Maturity:201801', 'Strike_price:10800', 'CallPut:call', 'close:15.5']
['Date:20171222', 'Maturity:201801', 'Strike_price:10900', 'CallPut:call', 'close:6.7']
['Date:20171222', 'Maturity:201801', 'Strike_price:11000', 'CallPut:call', 'close:2.7']
['Date:20171222', 'Maturity:201801', 'Strike_price:11100', 'CallPut:call', 'close:1.3']
['Date:20171225', 'Maturity:201712W4', 'Strike_price:9700', 'CallPut:call', 'close:835']
['Date:20171225', 'Maturity:201712W4', 'Strike_price:9800', 'CallPut:call', 'close:735']
['Date:20171225', 'Maturity:201712W4', 'Strike_price:9900', 'CallPut:call', 'close:635']
['Date:20171225', 'Maturity:201712W4', 'Strike_price:10000', 'CallPut:call', 'close:535']
['Date:20171225', 'Maturity:201712W4', 'Strike_price:10100', 'CallPut:call', 'close:435']
['Date:20171225', 'Maturity:201712W4', 'Strike_price:10200', 'CallPut:call', 'close:335']
['Date:20171225', 'Maturity:201712W4', 'Strike_price:10250', 'CallPut:call', 'close:285']
['Date:20171225', 'Maturity:201712W4', 'Strike_price:10300', 'CallPut:call', 'close:235']
['Date:20171225', 'Maturity:201712W4', 'Strike_price:10350', 'CallPut:call', 'close:185']
['Date:20171225', 'Maturity:201712W4', 'Strike_price:10400', 'CallPut:call', 'close:135']
['Date:20171225', 'Maturity:201712W4', 'Strike_price:10450', 'CallPut:call', 'close:85']
['Date:20171225', 'Maturity:201712W4', 'Strike_price:10500', 'CallPut:call', 'close:44']
['Date:20171225', 'Maturity:201712W4', 'Strike_price:10550', 'CallPut:call', 'close:16']
['Date:20171225', 'Maturity:201712W4', 'Strike_price:10600', 'CallPut:call', 'close:4']
['Date:20171225', 'Maturity:201801', 'Strike_price:8800', 'CallPut:call', 'close:1730']
['Date:20171225', 'Maturity:201801', 'Strike_price:8900', 'CallPut:call', 'close:1630']
['Date:20171225', 'Maturity:201801', 'Strike_price:9000', 'CallPut:call', 'close:1530']
['Date:20171225', 'Maturity:201801', 'Strike_price:9100', 'CallPut:call', 'close:1430']
['Date:20171225', 'Maturity:201801', 'Strike_price:9200', 'CallPut:call', 'close:1330']
['Date:20171225', 'Maturity:201801', 'Strike_price:9300', 'CallPut:call', 'close:1230']
['Date:20171225', 'Maturity:201801', 'Strike_price:9400', 'CallPut:call', 'close:1130']
['Date:20171225', 'Maturity:201801', 'Strike_price:9500', 'CallPut:call', 'close:1030']
['Date:20171225', 'Maturity:201801', 'Strike_price:9600', 'CallPut:call', 'close:930']
