['Date:20180102', 'Maturity:201801W1', 'Strike_price:9600', 'CallPut:call', 'close:1110']
['Date:20180102', 'Maturity:201801W1', 'Strike_price:9700', 'CallPut:call', 'close:1010']
['Date:20180102', 'Maturity:201801W1', 'Strike_price:9800', 'CallPut:call', 'close:915']
['Date:20180102', 'Maturity:201801W1', 'Strike_price:9900', 'CallPut:call', 'close:815']
['Date:20180102', 'Maturity:201801W1', 'Strike_price:10000', 'CallPut:call', 'close:715']
['Date:20180102', 'Maturity:201801W1', 'Strike_price:10100', 'CallPut:call', 'close:615']
['Date:20180102', 'Maturity:201801W1', 'Strike_price:10150', 'CallPut:call', 'close:565']
['Date:20180102', 'Maturity:201801W1', 'Strike_price:10200', 'CallPut:call', 'close:515']
['Date:20180102', 'Maturity:201801W1', 'Strike_price:10250', 'CallPut:call', 'close:465']
['Date:20180102', 'Maturity:201801W1', 'Strike_price:10300', 'CallPut:call', 'close:415']
['Date:20180102', 'Maturity:201801W1', 'Strike_price:10350', 'CallPut:call', 'close:365']
['Date:20180102', 'Maturity:201801W1', 'Strike_price:10400', 'CallPut:call', 'close:315']
['Date:20180102', 'Maturity:201801W1', 'Strike_price:10450', 'CallPut:call', 'close:265']
['Date:20180102', 'Maturity:201801W1', 'Strike_price:10500', 'CallPut:call', 'close:215']
['Date:20180102', 'Maturity:201801W1', 'Strike_price:10550', 'CallPut:call', 'close:168']
['Date:20180102', 'Maturity:201801W1', 'Strike_price:10600', 'CallPut:call', 'close:120']
['Date:20180102', 'Maturity:201801W1', 'Strike_price:10650', 'CallPut:call', 'close:72']
['Date:20180102', 'Maturity:201801W1', 'Strike_price:10700', 'CallPut:call', 'close:31.5']
['Date:20180102', 'Maturity:201801W1', 'Strike_price:10750', 'CallPut:call', 'close:7.4']
['Date:20180102', 'Maturity:201801', 'Strike_price:8800', 'CallPut:call', 'close:1910']
['Date:20180102', 'Maturity:201801', 'Strike_price:8900', 'CallPut:call', 'close:1810']
['Date:20180102', 'Maturity:201801', 'Strike_price:9000', 'CallPut:call', 'close:1710']
['Date:20180102', 'Maturity:201801', 'Strike_price:9100', 'CallPut:call', 'close:1610']
['Date:20180102', 'Maturity:201801', 'Strike_price:9200', 'CallPut:call', 'close:1510']
['Date:20180102', 'Maturity:201801', 'Strike_price:9300', 'CallPut:call', 'close:1410']
['Date:20180102', 'Maturity:201801', 'Strike_price:9400', 'CallPut:call', 'close:1310']
['Date:20180102', 'Maturity:201801', 'Strike_price:9500', 'CallPut:call', 'close:1210']
['Date:20180102', 'Maturity:201801', 'Strike_price:9600', 'CallPut:call', 'close:1110']
['Date:20180102', 'Maturity:201801', 'Strike_price:9700', 'CallPut:call', 'close:1010']
['Date:20180102', 'Maturity:201801', 'Strike_price:9800', 'CallPut:call', 'close:910']
['Date:20180102', 'Maturity:201801', 'Strike_price:9900', 'CallPut:call', 'close:810']
['Date:20180102', 'Maturity:201801', 'Strike_price:10000', 'CallPut:call', 'close:710']
['Date:20180102', 'Maturity:201801', 'Strike_price:10100', 'CallPut:call', 'close:610']
['Date:20180102', 'Maturity:201801', 'Strike_price:10200', 'CallPut:call', 'close:510']
['Date:20180102', 'Maturity:201801', 'Strike_price:10300', 'CallPut:call', 'close:414']
['Date:20180102', 'Maturity:201801', 'Strike_price:10400', 'CallPut:call', 'close:324']
['Date:20180102', 'Maturity:201801', 'Strike_price:10500', 'CallPut:call', 'close:232']
['Date:20180102', 'Maturity:201801', 'Strike_price:10600', 'CallPut:call', 'close:149']
['Date:20180102', 'Maturity:201801', 'Strike_price:10700', 'CallPut:call', 'close:83']
['Date:20180102', 'Maturity:201801', 'Strike_price:10800', 'CallPut:call', 'close:38']
['Date:20180102', 'Maturity:201801', 'Strike_price:10900', 'CallPut:call', 'close:14.5']
['Date:20180102', 'Maturity:201801', 'Strike_price:11000', 'CallPut:call', 'close:4.9']
