['time:1262880000000', 'tradeDate:1262880000000', 'open:8287', 'high:8297', 'low:8183', 'close:8278', 'volume:104771']
['time:1262534400000', 'tradeDate:1262534400000', 'open:8203', 'high:8211', 'low:8101', 'close:8166', 'volume:84131']
['time:1262620800000', 'tradeDate:1262620800000', 'open:8212', 'high:8260', 'low:8125', 'close:8178', 'volume:108012']
['time:1262707200000', 'tradeDate:1262707200000', 'open:8197', 'high:8336', 'low:8179', 'close:8320', 'volume:120081']
['time:1262793600000', 'tradeDate:1262793600000', 'open:8335', 'high:8355', 'low:8230', 'close:8259', 'volume:120555']
['time:1285603200000', 'tradeDate:1285603200000', 'open:8162', 'high:8199', 'low:8150', 'close:8180', 'volume:68963']
['time:1267027200000', 'tradeDate:1267027200000', 'open:7505', 'high:7522', 'low:7335', 'close:7368', 'volume:124223']
['time:1285689600000', 'tradeDate:1285689600000', 'open:8220', 'high:8295', 'low:8203', 'close:8210', 'volume:117733']
['time:1275840000000', 'tradeDate:1275840000000', 'open:7100', 'high:7128', 'low:7035', 'close:7097', 'volume:128756']
['time:1283356800000', 'tradeDate:1283356800000', 'open:7695', 'high:7744', 'low:7665', 'close:7692', 'volume:102840']
['time:1283443200000', 'tradeDate:1283443200000', 'open:7714', 'high:7786', 'low:7713', 'close:7777', 'volume:94555']
['time:1283702400000', 'tradeDate:1283702400000', 'open:7838', 'high:7878', 'low:7819', 'close:7865', 'volume:77831']
['time:1283788800000', 'tradeDate:1283788800000', 'open:7860', 'high:7874', 'low:7843', 'close:7853', 'volume:60520']
['time:1283875200000', 'tradeDate:1283875200000', 'open:7823', 'high:7868', 'low:7790', 'close:7848', 'volume:116025']
['time:1283961600000', 'tradeDate:1283961600000', 'open:7885', 'high:7890', 'low:7806', 'close:7834', 'volume:100524']
['time:1288108800000', 'tradeDate:1288108800000', 'open:8329', 'high:8368', 'low:8264', 'close:8281', 'volume:117085']
['time:1287072000000', 'tradeDate:1287072000000', 'open:8212', 'high:8246', 'low:8190', 'close:8190', 'volume:81159']
['time:1291651200000', 'tradeDate:1291651200000', 'open:8698', 'high:8716', 'low:8652', 'close:8716', 'volume:69626']
['time:1266940800000', 'tradeDate:1266940800000', 'open:7468', 'high:7545', 'low:7458', 'close:7480', 'volume:83099']
['time:1291132800000', 'tradeDate:1291132800000', 'open:8423', 'high:8550', 'low:8411', 'close:8550', 'volume:108687']
['time:1263830400000', 'tradeDate:1263830400000', 'open:8370', 'high:8382', 'low:8230', 'close:8270', 'volume:121248']
['time:1263744000000', 'tradeDate:1263744000000', 'open:8300', 'high:8383', 'low:8286', 'close:8353', 'volume:78516']
['time:1291219200000', 'tradeDate:1291219200000', 'open:8600', 'high:8642', 'low:8591', 'close:8619', 'volume:88977']
['time:1263312000000', 'tradeDate:1263312000000', 'open:8259', 'high:8275', 'low:8191', 'close:8215', 'volume:108932']
['time:1263225600000', 'tradeDate:1263225600000', 'open:8318', 'high:8337', 'low:8246', 'close:8308', 'volume:99739']
['time:1263139200000', 'tradeDate:1263139200000', 'open:8278', 'high:8353', 'low:8251', 'close:8325', 'volume:88096']
['time:1280246400000', 'tradeDate:1280246400000', 'open:7679', 'high:7732', 'low:7635', 'close:7723', 'volume:80898']
['time:1263484800000', 'tradeDate:1263484800000', 'open:8310', 'high:8385', 'low:8307', 'close:8369', 'volume:96104']
['time:1263398400000', 'tradeDate:1263398400000', 'open:8246', 'high:8328', 'low:8236', 'close:8301', 'volume:81125']
['time:1293638400000', 'tradeDate:1293638400000', 'open:8879', 'high:8918', 'low:8865', 'close:8906', 'volume:82893']
['time:1284566400000', 'tradeDate:1284566400000', 'open:8145', 'high:8163', 'low:8062', 'close:8070', 'volume:94098']
['time:1284307200000', 'tradeDate:1284307200000', 'open:7943', 'high:8110', 'low:7934', 'close:8109', 'volume:127838']
['time:1284048000000', 'tradeDate:1284048000000', 'open:7889', 'high:7908', 'low:7849', 'close:7900', 'volume:88648']
['time:1284652800000', 'tradeDate:1284652800000', 'open:8100', 'high:8209', 'low:8097', 'close:8171', 'volume:111718']
['time:1281369600000', 'tradeDate:1281369600000', 'open:7998', 'high:7998', 'low:7933', 'close:7936', 'volume:70375']
['time:1284480000000', 'tradeDate:1284480000000', 'open:8142', 'high:8158', 'low:8113', 'close:8154', 'volume:51515']
['time:1284393600000', 'tradeDate:1284393600000', 'open:8117', 'high:8135', 'low:8088', 'close:8122', 'volume:67460']
['time:1272902400000', 'tradeDate:1272902400000', 'open:7968', 'high:7982', 'low:7848', 'close:7880', 'volume:129308']
['time:1272988800000', 'tradeDate:1272988800000', 'open:7690', 'high:7750', 'low:7649', 'close:7657', 'volume:139679']
['time:1273075200000', 'tradeDate:1273075200000', 'open:7643', 'high:7669', 'low:7512', 'close:7579', 'volume:128579']
['time:1273161600000', 'tradeDate:1273161600000', 'open:7352', 'high:7547', 'low:7351', 'close:7502', 'volume:157944']
['time:1272816000000', 'tradeDate:1272816000000', 'open:7925', 'high:8001', 'low:7876', 'close:7931', 'volume:116275']
['time:1276444800000', 'tradeDate:1276444800000', 'open:7356', 'high:7395', 'low:7336', 'close:7382', 'volume:76580']
['time:1276531200000', 'tradeDate:1276531200000', 'open:7378', 'high:7498', 'low:7364', 'close:7459', 'volume:93703']
['time:1276704000000', 'tradeDate:1276704000000', 'open:7518', 'high:7537', 'low:7479', 'close:7519', 'volume:57082']
['time:1276099200000', 'tradeDate:1276099200000', 'open:7068', 'high:7164', 'low:7038', 'close:7163', 'volume:109141']
['time:1276185600000', 'tradeDate:1276185600000', 'open:7316', 'high:7317', 'low:7244', 'close:7293', 'volume:84575']
['time:1280160000000', 'tradeDate:1280160000000', 'open:7730', 'high:7733', 'low:7642', 'close:7657', 'volume:84227']
['time:1276790400000', 'tradeDate:1276790400000', 'open:7364', 'high:7387', 'low:7297', 'close:7352', 'volume:96166']
['time:1269360000000', 'tradeDate:1269360000000', 'open:7865', 'high:7876', 'low:7804', 'close:7815', 'volume:84035']
['time:1269446400000', 'tradeDate:1269446400000', 'open:7792', 'high:7858', 'low:7716', 'close:7803', 'volume:129037']
['time:1269532800000', 'tradeDate:1269532800000', 'open:7809', 'high:7917', 'low:7724', 'close:7886', 'volume:138132']
['time:1287936000000', 'tradeDate:1287936000000', 'open:8173', 'high:8306', 'low:8158', 'close:8303', 'volume:109281']
['time:1264608000000', 'tradeDate:1264608000000', 'open:7579', 'high:7745', 'low:7555', 'close:7699', 'volume:117356']
['time:1264694400000', 'tradeDate:1264694400000', 'open:7552', 'high:7633', 'low:7442', 'close:7580', 'volume:148605']
['time:1264435200000', 'tradeDate:1264435200000', 'open:7832', 'high:7886', 'low:7520', 'close:7556', 'volume:182130']
['time:1264521600000', 'tradeDate:1264521600000', 'open:7574', 'high:7633', 'low:7509', 'close:7534', 'volume:116963']
['time:1264348800000', 'tradeDate:1264348800000', 'open:7822', 'high:7912', 'low:7802', 'close:7852', 'volume:87477']
['time:1264089600000', 'tradeDate:1264089600000', 'open:8019', 'high:8023', 'low:7884', 'close:7897', 'volume:126740']
['time:1269792000000', 'tradeDate:1269792000000', 'open:7912', 'high:7966', 'low:7885', 'close:7957', 'volume:80247']
['time:1263916800000', 'tradeDate:1263916800000', 'open:8306', 'high:8312', 'low:8198', 'close:8215', 'volume:67857']
['time:1264003200000', 'tradeDate:1264003200000', 'open:8185', 'high:8213', 'low:8112', 'close:8134', 'volume:117077']
['time:1281456000000', 'tradeDate:1281456000000', 'open:7886', 'high:7930', 'low:7833', 'close:7856', 'volume:114453']
['time:1282060800000', 'tradeDate:1282060800000', 'open:7969', 'high:7971', 'low:7900', 'close:7919', 'volume:59966']
['time:1289750400000', 'tradeDate:1289750400000', 'open:8296', 'high:8310', 'low:8229', 'close:8270', 'volume:101630']
['time:1267113600000', 'tradeDate:1267113600000', 'open:7378', 'high:7434', 'low:7341', 'close:7383', 'volume:91371']
['time:1285516800000', 'tradeDate:1285516800000', 'open:8200', 'high:8230', 'low:8176', 'close:8185', 'volume:77297']
['time:1285257600000', 'tradeDate:1285257600000', 'open:8185', 'high:8197', 'low:8121', 'close:8147', 'volume:126534']
['time:1288022400000', 'tradeDate:1288022400000', 'open:8299', 'high:8340', 'low:8296', 'close:8313', 'volume:70560']
['time:1288627200000', 'tradeDate:1288627200000', 'open:8405', 'high:8405', 'low:8361', 'close:8367', 'volume:58662']
['time:1285171200000', 'tradeDate:1285171200000', 'open:8178', 'high:8233', 'low:8148', 'close:8202', 'volume:84525']
['time:1274198400000', 'tradeDate:1274198400000', 'open:7518', 'high:7587', 'low:7468', 'close:7576', 'volume:80404']
['time:1274112000000', 'tradeDate:1274112000000', 'open:7610', 'high:7640', 'low:7576', 'close:7619', 'volume:92214']
['time:1274025600000', 'tradeDate:1274025600000', 'open:7680', 'high:7682', 'low:7555', 'close:7602', 'volume:132831']
['time:1273766400000', 'tradeDate:1273766400000', 'open:7712', 'high:7766', 'low:7702', 'close:7760', 'volume:83064']
['time:1273680000000', 'tradeDate:1273680000000', 'open:7698', 'high:7777', 'low:7660', 'close:7761', 'volume:118535']
['time:1273593600000', 'tradeDate:1273593600000', 'open:7630', 'high:7658', 'low:7541', 'close:7587', 'volume:125000']
['time:1273507200000', 'tradeDate:1273507200000', 'open:7570', 'high:7697', 'low:7555', 'close:7568', 'volume:137129']
['time:1273420800000', 'tradeDate:1273420800000', 'open:7564', 'high:7638', 'low:7531', 'close:7637', 'volume:104819']
['time:1265731200000', 'tradeDate:1265731200000', 'open:7350', 'high:7479', 'low:7345', 'close:7419', 'volume:117786']
['time:1280332800000', 'tradeDate:1280332800000', 'open:7720', 'high:7731', 'low:7668', 'close:7707', 'volume:80324']
['time:1291564800000', 'tradeDate:1291564800000', 'open:8640', 'high:8714', 'low:8632', 'close:8697', 'volume:80691']
['time:1275580800000', 'tradeDate:1275580800000', 'open:7338', 'high:7348', 'low:7305', 'close:7321', 'volume:62707']
['time:1275494400000', 'tradeDate:1275494400000', 'open:7253', 'high:7341', 'low:7252', 'close:7338', 'volume:110634']
['time:1275408000000', 'tradeDate:1275408000000', 'open:7193', 'high:7282', 'low:7101', 'close:7140', 'volume:146272']
['time:1275321600000', 'tradeDate:1275321600000', 'open:7283', 'high:7321', 'low:7220', 'close:7244', 'volume:131341']
['time:1291305600000', 'tradeDate:1291305600000', 'open:8639', 'high:8645', 'low:8609', 'close:8630', 'volume:70423']
['time:1279555200000', 'tradeDate:1279555200000', 'open:7647', 'high:7746', 'low:7635', 'close:7709', 'volume:100166']
['time:1279641600000', 'tradeDate:1279641600000', 'open:7758', 'high:7758', 'low:7683', 'close:7687', 'volume:51616']
['time:1279728000000', 'tradeDate:1279728000000', 'open:7585', 'high:7614', 'low:7536', 'close:7563', 'volume:91546']
['time:1279814400000', 'tradeDate:1279814400000', 'open:7647', 'high:7703', 'low:7635', 'close:7680', 'volume:83773']
['time:1291737600000', 'tradeDate:1291737600000', 'open:8718', 'high:8721', 'low:8675', 'close:8701', 'volume:61331']
['time:1291824000000', 'tradeDate:1291824000000', 'open:8722', 'high:8797', 'low:8722', 'close:8789', 'volume:95653']
['time:1276012800000', 'tradeDate:1276012800000', 'open:7080', 'high:7139', 'low:6990', 'close:7038', 'volume:125232']
['time:1275926400000', 'tradeDate:1275926400000', 'open:7097', 'high:7139', 'low:7075', 'close:7129', 'volume:86675']
['time:1287504000000', 'tradeDate:1287504000000', 'open:7950', 'high:8121', 'low:7947', 'close:8120', 'volume:82275']
['time:1282752000000', 'tradeDate:1282752000000', 'open:7672', 'high:7696', 'low:7621', 'close:7621', 'volume:90562']
['time:1269964800000', 'tradeDate:1269964800000', 'open:7946', 'high:7970', 'low:7895', 'close:7906', 'volume:74622']
